"1332",NULL,"7","745","22",NULL,NULL,NULL,NULL,"KEPALA UPT PENGELOLA PASAR ULIN RAYA","2",NULL,"58",NULL,"1"
"1315",NULL,"8","728","148",NULL,NULL,NULL,NULL,"KEPALA SEKSI PEMERINTAHAN","2",NULL,"58",NULL,"1"
"1314",NULL,"8","727","148",NULL,NULL,NULL,NULL,"SEKRETARIS","2",NULL,"58",NULL,"1"
"1313",NULL,"8","726","138",NULL,NULL,NULL,NULL,"KEPALA SEKSI PEMERINTAHAN","2",NULL,"58",NULL,"1"
"1312",NULL,"8","725","138",NULL,NULL,NULL,NULL,"SEKRETARIS","2",NULL,"58",NULL,"1"
"1311",NULL,"8","724","145",NULL,NULL,NULL,NULL,"KEPALA SEKSI KESEJAHTERAAN SOSIAL","2",NULL,"58",NULL,"1"
"1310",NULL,"8","723","145",NULL,NULL,NULL,NULL,"KEPALA SEKSI EKONOMI DAN PEMBANGUNAN","2",NULL,"58",NULL,"1"
"1309",NULL,"8","722","150",NULL,NULL,NULL,NULL,"KEPALA SEKSI KESEJAHTERAAN  SOSIAL","2",NULL,"58",NULL,"1"
"1308",NULL,"8","721","145",NULL,NULL,NULL,NULL,"KEPALA SEKSI PEMERINTAHAN","2",NULL,"58",NULL,"1"
"1307",NULL,"8","720","150",NULL,NULL,NULL,NULL,"KEPALA SEKSI EKONOMI DAN PEMBANGUNAN","2",NULL,"58",NULL,"1"
"1306",NULL,"8","719","145",NULL,NULL,NULL,NULL,"SEKRETARIS","2",NULL,"58",NULL,"1"
"1305",NULL,"8","718","150",NULL,NULL,NULL,NULL,"KEPALA SEKSI PEMERINTAHAN","2",NULL,"58",NULL,"1"
"1304",NULL,"8","717","143",NULL,NULL,NULL,NULL,"KEPALA SEKSI KESEJAHTERAAN SOSIAL","2",NULL,"58",NULL,"1"
"1303",NULL,"8","716","150",NULL,NULL,NULL,NULL,"SEKRETARIS","2",NULL,"58",NULL,"1"
"1316",NULL,"8","729","138",NULL,NULL,NULL,NULL,"KEPALA SEKSI EKONOMI DAN PEMBANGUNAN","2",NULL,"58",NULL,"1"
"1317",NULL,"8","730","138",NULL,NULL,NULL,NULL,"KEPALA SEKSI KESEJAHTERAAN  SOSIAL","2",NULL,"58",NULL,"1"
"1318",NULL,"8","731","148",NULL,NULL,NULL,NULL,"KEPALA SEKSI EKONOMI DAN PEMBANGUNAN","2",NULL,"58",NULL,"1"
"1331",NULL,"7","744","22",NULL,NULL,NULL,NULL,"KEPALA UPT PENGELOLA PASAR HRIS","2",NULL,"58",NULL,"1"
"1330",NULL,"8","743","22",NULL,NULL,NULL,NULL,"KEPALA UPT PENGELOLA GUDANG TRANSITO","2",NULL,"58",NULL,"1"
"1329",NULL,"8","742","16",NULL,NULL,NULL,NULL,"KEPALA SUB BAGIAN TATA USAHA PENYULUH KB","2",NULL,"58",NULL,"1"
"1328",NULL,"7","741","16",NULL,NULL,NULL,NULL,"KEPALA UPT PENYULUH KELUARGA BERENCANA","2",NULL,"58",NULL,"1"
"1327",NULL,"8","740","28",NULL,NULL,NULL,NULL,"KEPALA SUB BAGIAN TATA USAHA UPT SMPN","2",NULL,"58",NULL,"1"
