"2","541","0","0","0","0","1970-01-01","1970-01-01",,,,,"0000-00-00",,"0000-00-00",,"0",,,,NULL,NULL,NULL
"6","5261","4","0","0","0","1993-01-01","1993-01-01",,,,,"1993-01-01",,"0000-00-00",,"0",,,,NULL,NULL,"SEPALA"
"5","5261","0","4008","0","0","1970-01-01","1970-01-01",,,,,"0000-00-00",,"0000-00-00",,"0","ANALIS JABATAN","DF",,NULL,NULL,"ANALIS JABATAN"
"7","5261","10","0","0","0","2000-01-01","2000-01-01",,,,,"2000-01-01",,"0000-00-00",,"0",,,,NULL,NULL,"DIKLATPIM TK.III"
"8","5261","12","0","0","0","2004-01-01","2004-01-01",,,,,"2004-01-01",,"0000-00-00",,"0",,,,NULL,NULL,"SPAMEN"
"9","5261","2","0","0","0","1991-01-01","1991-01-01","-","-","-","-","1991-01-01",,"0000-00-00",,"0",,,,NULL,NULL,"SEPADA"
"10","5261","0","824","0","0","1970-01-01","1970-01-01",,,,,"0000-00-00",,"0000-00-00",,"0","TARPADNAS","DF",,NULL,NULL,"TARPADNAS"
"11","5261","0","3362","0","0","1970-01-01","1970-01-01",,,,,"0000-00-00",,"0000-00-00",,"0","TERPADU KBM","DF",,NULL,NULL,"TERPADU KBM"
"12","5261","0","1170","0","0","1970-01-01","1970-01-01",,,,,"0000-00-00",,"0000-00-00",,"0","DIKLATSAR LINMAS","DF",,NULL,NULL,"DIKLATSAR LINMAS"
"15","5264","0","0","0","0","2008-04-12","2008-04-12","IPDN Jatinangor","Jatinangor","8","820/128/DEPDIKLAT","2008-04-25",,"0000-00-00",,"0","Diklat Kearsipan","DT",,NULL,NULL,NULL
"16","5264","0","0","0","0","2009-01-23","2009-01-24","IPDN Jatinangor","Jatinangor",,,"2009-01-24",,"0000-00-00",,"0","Diklat Keprotokolan","DT",,NULL,NULL,NULL
"17","5264","0","0","0","0","2011-05-04","2011-05-06","Biro Kepegawaian Kemendagri","Jakarta",,"800/1227/SJ","2011-05-06",,"0000-00-00",,"0","Workshop Penyusunan Formasi dan Sistem Rekruitmen PNS","DT",,NULL,NULL,NULL
"18","5264","0","0","0","0","2014-12-03","2014-12-04","Biro Organisasi Setda Kalsel","HRIS",,"061.1/018/bintek.skj/org/2014","2014-12-04",,"0000-00-00",,"0","Bimbingan Teknis Standar Kompetensi Jabatan","DT",,NULL,NULL,NULL
"19","5270",NULL,NULL,NULL,NULL,"2009-11-13","2009-11-15","LPMP","HRIS","32","1542/F381/LL/2009","2009-11-15",NULL,NULL,NULL,NULL,"CALON KEPALA SEKOLAH","DF",NULL,NULL,NULL,NULL
"20","5270",NULL,NULL,NULL,NULL,"2015-06-20","2015-06-23","LPMP","HRIS","38","1186/J39/DL/2015","2015-06-23",NULL,NULL,NULL,NULL,"CALON PENILAI PKG","DF",NULL,NULL,NULL,NULL
"21","5270",NULL,NULL,NULL,NULL,"2015-10-25","2015-12-04","LPMP","KARANG ANYAR (SOLO)","300","15-1561.PPCKS-2-1-0022","2015-12-16",NULL,NULL,NULL,NULL,"PEDIDIKAN & PELATIHAN CALON KEPALA SEKOLAH","DF",NULL,NULL,NULL,NULL
"22","5271",NULL,NULL,NULL,NULL,"2013-07-09","2013-07-13","LPMP","BANJARMASIN","52","13662/J/KP/2013","2013-07-15",NULL,NULL,NULL,NULL,"PELATIHAN GURU SATUAN IMPLEMENTASI K 13","DF",NULL,NULL,NULL,NULL
"23","5271",NULL,NULL,NULL,NULL,"2015-11-16","2015-11-19","DIRJEN PENDIDIKAN SD DAN SMP","SURABAYA","32","2082/D2/PD/2015","2015-11-18",NULL,NULL,NULL,NULL,"PEMBINAAN TEKNIS SD PEMBINA","DF",NULL,NULL,NULL,NULL
"24","5271",NULL,NULL,NULL,NULL,"2015-09-05","2015-11-12","DINAS PENDIDIKAN KOTA HRIS","HRIS","100","421.2/3566/DIKDAS/DP/2015","2015-11-12",NULL,NULL,NULL,NULL,"PELATIHAN LESSON STUDY","DF",NULL,NULL,NULL,NULL
"25","5271",NULL,NULL,NULL,NULL,"2016-01-13","2016-09-23","LPPKS","KARANG ANYAR","300","5858/B18/PP/2016","2016-09-30",NULL,NULL,NULL,NULL,"PELATIHAN CALON KEPALA SEKOLAH","DF",NULL,NULL,NULL,NULL
"26","5271",NULL,NULL,NULL,NULL,"2007-11-17","2007-11-26","PUSDIKLAT PEGAWAI DEPDIKNAS","JAKARTA","120","1198/B.18/PP/2016","2016-09-30",NULL,NULL,NULL,NULL,"PELATIHAN KUR KTSP","DF",NULL,NULL,NULL,NULL
"27","5272",NULL,NULL,NULL,NULL,"2015-11-16","2015-11-27","LPMP","LANDASAN ULIN","72","2398/J39/DL/2015","2015-12-10",NULL,NULL,NULL,NULL,"PELATIHAN PENGEMBANGAN KEPROFESIAN BERKELANJUTAN","DF",NULL,NULL,NULL,NULL
"28","5272",NULL,NULL,NULL,NULL,"2016-06-22","1970-01-01","LPMP","MARTAPURA","52","36235/MPK.D/PD/2016","2016-07-26",NULL,NULL,NULL,NULL,"PELATIHAN GURU SASARAN KURIKULUM SD","DF",NULL,NULL,NULL,NULL
"29","5272",NULL,NULL,NULL,NULL,"2016-08-08","2016-11-11","DINAS PENDIDIKAN","HRIS","100","421.21/2861/DIKDAS/DP/2016","2016-11-16",NULL,NULL,NULL,NULL,"LESSON STUDY BERBASIS (MGMP)","DF",NULL,NULL,NULL,NULL
